,MMM-YY,Driver_ID,Age,Gender,City,Education_Level,Income,Dateofjoining,LastWorkingDate,Joining Designation,Grade,Total Business Value,Quarterly Rating
0,01/01/19,1,28,0,C23,2,57387,24/12/18,,1,1,2381060,2
1,02/01/19,1,28,0,C23,2,57387,24/12/18,,1,1,-665480,2
2,03/01/19,1,28,0,C23,2,57387,24/12/18,03/11/19,1,1,0,2
3,11/01/20,2,31,0,C7,2,67016,11/06/20,,2,2,0,1
4,12/01/20,2,31,0,C7,2,67016,11/06/20,,2,2,0,1
5,12/01/19,4,43,0,C13,2,65603,12/07/19,,2,2,0,1
6,01/01/20,4,43,0,C13,2,65603,12/07/19,,2,2,0,1
7,02/01/20,4,43,0,C13,2,65603,12/07/19,,2,2,0,1
8,03/01/20,4,43,0,C13,2,65603,12/07/19,,2,2,350000,1
9,04/01/20,4,43,0,C13,2,65603,12/07/19,27/04/20,2,2,0,1
10,01/01/19,5,29,0,C9,0,46368,01/09/19,,1,1,0,1
11,02/01/19,5,29,0,C9,0,46368,01/09/19,,1,1,120360,1
12,03/01/19,5,29,0,C9,0,46368,01/09/19,03/07/19,1,1,0,1
13,08/01/20,6,31,1,C11,1,78728,31/07/20,,3,3,0,1
14,09/01/20,6,31,1,C11,1,78728,31/07/20,,3,3,0,1
15,10/01/20,6,31,1,C11,1,78728,31/07/20,,3,3,0,2
16,11/01/20,6,31,1,C11,1,78728,31/07/20,,3,3,1265000,2
17,12/01/20,6,31,1,C11,1,78728,31/07/20,,3,3,0,2
18,09/01/20,8,34,0,C2,0,70656,19/09/20,,3,3,0,1
19,10/01/20,8,34,0,C2,0,70656,19/09/20,,3,3,0,1
20,11/01/20,8,34,0,C2,0,70656,19/09/20,15/11/20,3,3,0,1
21,12/01/20,11,28,1,C19,2,42172,12/07/20,,1,1,0,1
22,07/01/19,12,35,0,C23,2,28116,29/06/19,,1,1,500000,4
23,08/01/19,12,35,0,C23,2,28116,29/06/19,,1,1,1707180,4
24,09/01/19,12,35,0,C23,2,28116,29/06/19,,1,1,400000,4
25,10/01/19,12,35,0,C23,2,28116,29/06/19,,1,1,0,1
26,11/01/19,12,35,0,C23,2,28116,29/06/19,,1,1,0,1
27,12/01/19,12,35,0,C23,2,28116,29/06/19,21/12/19,1,1,0,1
28,01/01/19,13,29,0,C19,2,119227,28/05/15,,1,4,250000,1
29,02/01/19,13,29,0,C19,2,119227,28/05/15,,1,4,1719680,1
30,03/01/19,13,29,0,C19,2,119227,28/05/15,,1,4,545240,1
31,04/01/19,13,29,0,C19,2,119227,28/05/15,,1,4,250000,2
32,05/01/19,13,29,0,C19,2,119227,28/05/15,,1,4,895510,2
33,06/01/19,13,29,0,C19,2,119227,28/05/15,,1,4,0,2
34,07/01/19,13,29,0,C19,2,119227,28/05/15,,1,4,350650,2
35,08/01/19,13,29,0,C19,2,119227,28/05/15,,1,4,708360,2
36,09/01/19,13,29,0,C19,2,119227,28/05/15,,1,4,1190290,2
37,10/01/19,13,29,0,C19,2,119227,28/05/15,,1,4,0,1
38,11/01/19,13,30,0,C19,2,119227,28/05/15,,1,4,200000,1
39,12/01/19,13,30,0,C19,2,119227,28/05/15,,1,4,300000,1
40,01/01/20,13,30,0,C19,2,119227,28/05/15,,1,4,151110,1
41,02/01/20,13,30,0,C19,2,119227,28/05/15,,1,4,200000,1
42,03/01/20,13,30,0,C19,2,119227,28/05/15,,1,4,1593590,1
43,04/01/20,13,30,0,C19,2,119227,28/05/15,,1,4,0,1
44,05/01/20,13,30,0,C19,2,119227,28/05/15,,1,4,400000,1
45,06/01/20,13,30,0,C19,2,119227,28/05/15,,1,4,258610,1
46,07/01/20,13,30,0,C19,2,119227,28/05/15,,1,4,150000,1
47,08/01/20,13,30,0,C19,2,119227,28/05/15,,1,4,500000,1
48,09/01/20,13,30,0,C19,2,119227,28/05/15,,1,4,200000,1
49,10/01/20,13,30,0,C19,2,119227,28/05/15,,1,4,350000,1
50,11/01/20,13,31,0,C19,2,119227,28/05/15,25/11/20,1,4,0,1
51,10/01/20,14,39,1,C26,0,19734,16/10/20,,3,3,0,1
52,11/01/20,14,39,1,C26,0,19734,16/10/20,,3,3,0,1
53,12/01/20,14,39,1,C26,0,19734,16/10/20,,3,3,0,1
54,01/01/19,16,30,1,C23,0,52963,30/11/18,,2,2,346800,1
55,02/01/19,16,30,1,C23,0,52963,30/11/18,22/02/19,2,2,0,1
56,01/01/19,17,42,0,C20,2,51099,03/06/18,,1,1,100000,2
57,02/01/19,17,42,0,C20,2,51099,03/06/18,,1,1,0,2
58,03/01/19,17,42,0,C20,2,51099,03/06/18,,1,1,674990,2
59,04/01/19,17,42,0,C20,2,51099,03/06/18,,1,1,242650,1
60,05/01/19,17,42,0,C20,2,51099,03/06/18,,1,1,0,1
61,06/01/19,17,42,0,C20,2,51099,03/06/18,,1,1,0,1
62,07/01/19,17,43,0,C20,2,51099,03/06/18,20/07/19,1,1,0,1
63,01/01/19,18,27,1,C17,1,31631,01/09/19,,1,1,0,1
64,02/01/19,18,27,1,C17,1,31631,01/09/19,,1,1,0,1
65,03/01/19,18,27,1,C17,1,31631,01/09/19,,1,1,0,1
66,04/01/19,18,27,1,C17,1,31631,01/09/19,,1,1,0,1
67,05/01/19,18,27,1,C17,1,31631,01/09/19,30/04/19,1,1,0,1
68,10/01/19,20,26,1,C19,0,40342,25/10/19,,3,3,0,1
69,11/01/19,20,26,1,C19,0,40342,25/10/19,,3,3,0,1
70,12/01/19,20,26,1,C19,0,40342,25/10/19,,3,3,0,1
71,01/01/20,20,26,1,C19,0,40342,25/10/19,,3,3,0,1
72,02/01/20,20,,1,C19,0,40342,25/10/19,,3,3,0,1
73,03/01/20,20,26,1,C19,0,40342,25/10/19,03/01/20,3,3,0,1
74,01/01/19,21,33,1,C29,1,22755,05/12/18,,1,1,948560,4
75,02/01/19,21,33,1,C29,1,22755,05/12/18,,1,1,551740,4
76,03/01/19,21,33,1,C29,1,22755,05/12/18,,1,1,3295370,4
77,04/01/19,21,33,1,C29,1,22755,05/12/18,,1,1,0,2
78,05/01/19,21,33,1,C29,1,22755,05/12/18,,1,1,116350,2
79,06/01/19,21,33,1,C29,1,22755,05/12/18,,1,1,533260,2
80,07/01/19,21,33,1,C29,1,22755,05/12/18,,1,1,150450,2
81,08/01/19,21,33,1,C29,1,22755,05/12/18,,1,1,0,2
82,09/01/19,21,33,1,C29,1,22755,05/12/18,,1,1,520980,2
83,10/01/19,21,33,1,C29,1,22755,05/12/18,,1,1,150600,2
84,11/01/19,21,34,1,C29,1,22755,05/12/18,,1,1,0,2
85,12/01/19,21,34,1,C29,1,22755,05/12/18,,1,1,263690,2
86,01/01/20,21,34,1,C29,1,22755,05/12/18,,1,1,150170,1
87,02/01/20,21,34,1,C29,1,22755,05/12/18,17/02/20,1,1,281380,1
88,01/01/19,22,40,0,C10,2,31224,25/05/18,,1,1,216170,2
89,02/01/19,22,40,0,C10,2,31224,25/05/18,,1,1,404600,2
90,03/01/19,22,40,0,C10,2,31224,25/05/18,,1,1,819960,2
91,04/01/19,22,40,0,C10,2,31224,25/05/18,,1,1,601680,4
92,05/01/19,22,40,0,C10,2,31224,25/05/18,,1,1,635700,4
93,06/01/19,22,40,0,C10,2,31224,25/05/18,,1,1,121590,4
94,07/01/19,22,40,0,C10,2,31224,25/05/18,,1,1,653680,4
95,08/01/19,22,40,0,C10,2,31224,25/05/18,,1,1,1120560,4
96,09/01/19,22,40,0,C10,2,31224,25/05/18,,1,1,696920,4
97,10/01/19,22,,0,C10,2,31224,25/05/18,,1,1,200000,3
98,11/01/19,22,41,0,C10,2,31224,25/05/18,,1,1,306410,3
99,12/01/19,22,41,0,C10,2,31224,25/05/18,,1,1,499480,3
100,01/01/20,22,41,0,C10,2,31224,25/05/18,,1,1,500510,2
101,02/01/20,22,41,0,C10,2,31224,25/05/18,,1,1,658430,2
102,03/01/20,22,41,0,C10,2,31224,25/05/18,,1,1,103800,2
103,04/01/20,22,41,0,C10,2,31224,25/05/18,26/04/20,1,1,0,1
104,01/01/19,24,30,0,C24,2,76308,25/05/18,,1,2,106460,2
105,02/01/19,24,31,0,C24,2,76308,25/05/18,,1,2,401310,2
106,03/01/19,24,31,0,C24,2,76308,25/05/18,,1,2,1103240,2
107,04/01/19,24,31,0,C24,2,76308,25/05/18,,1,2,312720,2
108,05/01/19,24,31,0,C24,2,76308,25/05/18,,1,2,128730,2
109,06/01/19,24,31,0,C24,2,76308,25/05/18,,1,2,97220,2
110,07/01/19,24,,0,C24,2,76308,25/05/18,,1,2,203240,3
111,08/01/19,24,31,0,C24,2,76308,25/05/18,,1,2,639720,3
112,09/01/19,24,31,0,C24,2,76308,25/05/18,,1,2,765920,3
113,10/01/19,24,31,0,C24,2,76308,25/05/18,27/10/19,1,2,343160,2
114,01/01/19,25,29,0,C24,1,102077,30/10/17,,1,3,2552300,3
115,02/01/19,25,29,0,C24,1,102077,30/10/17,,1,3,2143680,3
116,03/01/19,25,29,0,C24,1,102077,30/10/17,,1,3,2925260,3
117,04/01/19,25,29,0,C24,1,102077,30/10/17,,1,3,1030790,4
118,05/01/19,25,29,0,C24,1,102077,30/10/17,,1,3,1833580,4
119,06/01/19,25,29,0,C24,1,102077,30/10/17,,1,3,999610,4
120,07/01/19,25,29,0,C24,1,102077,30/10/17,,1,3,1046670,4
121,08/01/19,25,29,0,C24,1,102077,30/10/17,,1,3,677050,4
122,09/01/19,25,29,0,C24,1,102077,30/10/17,,1,3,1934570,4
123,10/01/19,25,29,0,C24,1,102077,30/10/17,,1,3,1297810,4
124,11/01/19,25,30,0,C24,1,102077,30/10/17,,1,3,1474610,4
125,12/01/19,25,30,0,C24,1,102077,30/10/17,,1,3,574040,4
126,01/01/20,25,30,0,C24,1,102077,30/10/17,,1,3,2109420,4
127,02/01/20,25,30,0,C24,1,102077,30/10/17,,1,3,2973000,4
128,03/01/20,25,30,0,C24,1,102077,30/10/17,,1,3,3053510,4
129,04/01/20,25,30,0,C24,1,102077,30/10/17,,1,3,-414250,3
130,05/01/20,25,30,0,C24,1,102077,30/10/17,,1,3,350000,3
131,06/01/20,25,30,0,C24,1,102077,30/10/17,,1,3,1219340,3
132,07/01/20,25,30,0,C24,1,102077,30/10/17,,1,3,650000,4
133,08/01/20,25,30,0,C24,1,102077,30/10/17,,1,3,1512060,4
134,09/01/20,25,30,0,C24,1,102077,30/10/17,,1,3,1368060,4
135,10/01/20,25,30,0,C24,1,102077,30/10/17,,1,3,1346140,4
136,11/01/20,25,31,0,C24,1,102077,30/10/17,,1,3,1680680,4
137,12/01/20,25,31,0,C24,1,102077,30/10/17,,1,3,2013180,4
138,01/01/19,26,41,0,C14,2,121529,05/07/18,,1,3,243110,4
139,02/01/19,26,41,0,C14,2,121529,05/07/18,,1,3,646330,4
140,03/01/19,26,41,0,C14,2,121529,05/07/18,,1,3,17651940,4
141,04/01/19,26,41,0,C14,2,121529,05/07/18,,1,3,242510,4
142,05/01/19,26,41,0,C14,2,121529,05/07/18,,1,3,1098080,4
143,06/01/19,26,41,0,C14,2,121529,05/07/18,,1,3,1212720,4
144,07/01/19,26,41,0,C14,2,121529,05/07/18,,1,3,2695910,4
145,08/01/19,26,41,0,C14,2,121529,05/07/18,,1,3,494710,4
146,09/01/19,26,42,0,C14,2,121529,05/07/18,,1,3,986540,4
147,10/01/19,26,42,0,C14,2,121529,05/07/18,,1,3,9950710,4
148,11/01/19,26,42,0,C14,2,121529,05/07/18,,1,3,13097320,4
149,12/01/19,26,42,0,C14,2,121529,05/07/18,,1,3,1086370,4
150,01/01/20,26,42,0,C14,2,121529,05/07/18,,1,3,732410,2
151,02/01/20,26,42,0,C14,2,121529,05/07/18,,1,3,1511840,2
152,03/01/20,26,42,0,C14,2,132577,05/07/18,,1,4,9226690,4
153,04/01/20,26,42,0,C14,2,132577,05/07/18,,1,4,1940050,2
154,05/01/20,26,42,0,C14,2,132577,05/07/18,,1,4,970030,2
155,06/01/20,26,42,0,C14,2,132577,05/07/18,,1,4,0,2
156,07/01/20,26,42,0,C14,2,132577,05/07/18,,1,4,153590,2
157,08/01/20,26,42,0,C14,2,132577,05/07/18,,1,4,1710410,2
158,09/01/20,26,43,0,C14,2,132577,05/07/18,,1,4,440550,2
159,10/01/20,26,43,0,C14,2,132577,05/07/18,,1,4,744590,2
160,11/01/20,26,43,0,C14,2,132577,05/07/18,,1,4,1578270,2
161,12/01/20,26,43,0,C14,2,132577,05/07/18,,1,4,1453220,2
162,01/01/19,29,30,0,C13,2,30312,20/05/18,,1,1,231840,2
163,02/01/19,29,30,0,C13,2,30312,20/05/18,,1,1,278930,2
164,03/01/19,29,30,0,C13,2,30312,20/05/18,,1,1,650990,2
165,04/01/19,29,30,0,C13,2,30312,20/05/18,,1,1,111410,1
166,05/01/19,29,30,0,C13,2,30312,20/05/18,23/05/19,1,1,0,1
167,10/01/19,30,31,0,C6,1,69457,10/03/19,,3,3,0,1
168,11/01/19,30,31,0,C6,1,69457,10/03/19,,3,3,0,1
169,12/01/19,30,31,0,C6,1,69457,10/03/19,29/11/19,3,3,0,1
170,07/01/20,31,32,1,C28,2,65189,07/04/20,,3,3,0,1
171,08/01/20,31,32,1,C28,2,65189,07/04/20,,3,3,0,1
172,09/01/20,31,32,1,C28,2,65189,07/04/20,,3,3,0,1
173,10/01/20,31,32,1,C28,2,65189,07/04/20,,3,3,0,2
174,11/01/20,31,32,1,C28,2,65189,07/04/20,,3,3,0,2
175,12/01/20,31,32,1,C28,2,65189,07/04/20,,3,3,950940,2
176,08/01/20,34,28,1,C14,1,65813,31/07/20,,2,2,285830,2
177,09/01/20,34,28,1,C14,1,65813,31/07/20,,2,2,190180,2
178,10/01/20,34,28,1,C14,1,65813,31/07/20,,2,2,0,1
179,11/01/20,34,28,1,C14,1,65813,31/07/20,14/11/20,2,2,0,1
180,03/01/20,35,32,0,C5,1,68070,03/07/20,,3,3,300000,1
181,04/01/20,35,32,0,C5,1,68070,03/07/20,,3,3,0,1
182,05/01/20,35,32,0,C5,1,68070,03/07/20,05/05/20,3,3,0,1
183,07/01/19,36,40,1,C18,1,32865,07/01/19,,2,2,0,2
184,08/01/19,36,40,1,C18,1,32865,07/01/19,,2,2,0,2
185,09/01/19,36,40,1,C18,1,32865,07/01/19,,2,2,722390,2
186,10/01/19,36,40,1,C18,1,32865,07/01/19,,2,2,821020,2
187,11/01/19,36,40,1,C18,1,32865,07/01/19,,2,2,-19350,2
188,12/01/19,36,40,1,C18,1,32865,07/01/19,,2,2,145400,2
189,01/01/20,36,40,1,C18,1,32865,07/01/19,,2,2,0,1
190,02/01/20,36,40,1,C18,1,32865,07/01/19,,2,2,400000,1
191,03/01/20,36,40,1,C18,1,32865,07/01/19,,2,2,-50000,1
192,04/01/20,36,40,1,C18,1,32865,07/01/19,,2,2,1460000,3
193,05/01/20,36,40,1,C18,1,32865,07/01/19,,2,2,0,3
194,06/01/20,36,41,1,C18,1,32865,07/01/19,,2,2,139080,3
195,07/01/20,36,41,1,C18,1,32865,07/01/19,,2,2,984330,2
196,08/01/20,36,41,1,C18,1,32865,07/01/19,29/07/20,2,2,-325140,2
197,05/01/20,37,33,1,C14,1,57375,16/05/20,,2,2,0,1
198,06/01/20,37,33,1,C14,1,57375,16/05/20,,2,2,300000,1
199,07/01/20,37,33,1,C14,1,57375,16/05/20,,2,2,350020,1
200,08/01/20,37,33,1,C14,1,57375,16/05/20,,2,2,0,1
201,09/01/20,37,33,1,C14,1,57375,16/05/20,,2,2,0,1
202,10/01/20,37,33,1,C14,1,57375,16/05/20,16/10/20,2,2,0,1
203,12/01/19,38,22,0,C27,0,13427,12/06/19,,1,1,0,1
204,01/01/20,38,22,0,C27,0,13427,12/06/19,,1,1,0,1
205,02/01/20,38,22,0,C27,0,13427,12/06/19,,1,1,155610,1
206,03/01/20,38,22,0,C27,0,13427,12/06/19,15/03/20,1,1,-155610,1
207,08/01/20,39,32,0,C26,0,72888,08/08/20,,2,2,966340,3
208,09/01/20,39,32,0,C26,0,72888,08/08/20,,2,2,554010,3
209,10/01/20,39,32,0,C26,0,72888,08/08/20,,2,2,600440,2
210,11/01/20,39,32,0,C26,0,72888,08/08/20,,2,2,150470,2
211,12/01/20,39,32,0,C26,0,72888,08/08/20,,2,2,150970,2
212,11/01/19,40,,0,C15,0,59182,11/08/19,,2,2,0,1
213,12/01/19,40,32,0,C15,0,59182,11/08/19,,2,2,0,1
214,01/01/20,40,32,0,C15,0,59182,11/08/19,,2,2,0,1
215,02/01/20,40,32,0,C15,0,59182,11/08/19,14/02/20,2,2,0,1
216,07/01/19,41,33,0,C29,2,92372,07/04/19,,4,4,0,1
217,08/01/19,41,33,0,C29,2,92372,07/04/19,,4,4,0,1
218,09/01/19,41,33,0,C29,2,92372,07/04/19,,4,4,1061060,1
219,10/01/19,41,33,0,C29,2,92372,07/04/19,,4,4,1357440,3
220,11/01/19,41,33,0,C29,2,92372,07/04/19,,4,4,1000000,3
221,12/01/19,41,34,0,C29,2,92372,07/04/19,,4,4,2240810,3
222,01/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,1002760,3
223,02/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,2600330,3
224,03/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,6718850,3
225,04/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,0,2
